actual,predicted
0.020242635,0.044210322
0.02143354,0.04208045
0.021121254,0.042478614
0.019209616,0.04380583
0.019097738,0.041897245
0.017060654,0.008349752
0.016414503,0.005855562
0.018047754,0.0067182276
0.016059378,0.011021931
0.016095564,0.0069605354
0.016820183,0.0082068145
0.018290726,0.005671045
0.019107297,0.0066153985
0.020007715,0.008134022
0.025778005,0.013257906
0.026962504,0.012220124
0.027018325,0.020930871
0.026997203,0.018017637
0.03024523,0.017749185
0.03024065,0.017937362
0.032129243,0.022176394
0.031836256,0.027525634
0.035339158,0.023517653
0.038847536,0.02296495
0.04354682,0.036941275
0.04501997,0.030607231
0.047611345,0.034925252
0.04763058,0.036254603
0.04752302,0.04195413
0.04751172,0.039249927
0.048651513,0.041110627
0.049288668,0.046328466
0.0524795,0.046389066
0.052650437,0.052970972
0.05333714,0.04488945
0.05137114,0.051511686
0.05077652,0.048092064
0.052009735,0.04461249
0.05196494,0.04999568
0.050547156,0.045908093
0.051810045,0.046812747
0.0506428,0.049774382
0.050748393,0.045109775
0.048713766,0.043986976
0.04569876,0.04478734
0.04108468,0.04072715
0.039573144,0.034662697
0.035952527,0.033683505
0.035934683,0.029008154
0.035305507,0.02837586
0.03529592,0.028366797
0.03329176,0.028088853
0.0323746,0.025994245
0.025804302,0.02657811
0.02485975,0.0171215
0.022647338,0.01711666
0.021494033,0.015790777
0.021462193,0.013752686
0.018359872,0.012636056
0.018419964,0.010245221
0.018630615,0.008876814
0.0160939,0.007628193
0.016545948,0.008949062
0.016214691,0.008655872
0.015031608,0.0067665204
0.026202325,0.011353098
0.024551526,0.020356331
0.029369932,0.012225971
0.029119864,0.024188261
0.029921288,0.018610701
0.030544277,0.013920704
0.031903945,0.02154408
0.031778105,0.015534066
0.03391425,0.021370165
0.034220897,0.017382871
0.034486894,0.023866825
0.0340208,0.02064066
0.034484,0.022598285
0.037403174,0.024345651
0.03746944,0.030308716
0.03752056,0.02548612
0.039283466,0.023775596
0.03975717,0.021639343
0.039702266,0.030052744
0.039637726,0.028041467
0.040190954,0.025322434
0.037705526,0.02447677
0.037627187,0.025729284
0.034176223,0.023379218
0.034527335,0.020063184
0.03245108,0.019970823
0.031917386,0.021934807
0.02936413,0.019111402
0.029214239,0.015855288
0.029061016,0.017411133
0.030105911,0.021338921
0.029816119,0.014466427
0.030153384,0.018020866
0.02972862,0.01602154
0.025908217,0.016609041
0.026132485,0.013467684
0.026224967,0.015888697
0.023615861,0.013289075
0.024126347,0.013550634
0.026187869,0.015916642
0.026099183,0.009968864
0.027721353,0.012679182
0.027901068,0.019273646
0.027984258,0.016637653
0.030569859,0.0135899
0.030463306,0.012445085
0.030270392,0.01881121
0.030210594,0.017866785
0.031626716,0.01658457
0.031643976,0.014042318
0.029615764,0.017464418
0.028186444,0.014912341
0.028170034,0.014925841
0.027892267,0.014989197
0.02788158,0.013401693
0.029813876,0.015323596
0.030996209,0.020061484
0.030853957,0.01356413
0.031205915,0.017390177
0.029606152,0.019601144
0.07249183,0.05042909
0.07619117,0.06619763
0.07619082,0.06932163
0.07660637,0.06686146
0.082312495,0.06645962
0.08441018,0.07127936
0.08434908,0.07826228
0.08532183,0.076307714
0.08883793,0.07579127
0.088975504,0.0838015
0.08867883,0.08014169
0.088786595,0.081492044
0.088855654,0.08140937
0.08964606,0.080555454
0.08988793,0.08297405
0.0898693,0.082781464
0.09210175,0.08157169
0.089799695,0.08222483
0.085074134,0.08192579
0.07414599,0.0742993
0.07324141,0.062122166
0.06280889,0.060790315
0.06319799,0.048621483
0.063200675,0.047184207
0.06534729,0.04901976
0.057955444,0.05312293
0.056790173,0.042918697
0.05946195,0.042490557
0.057574853,0.045870677
0.052586578,0.041983426
0.051622413,0.036955036
0.0513398,0.03587932
0.0511479,0.03494526
0.051402885,0.034725703
0.05011032,0.034485374
0.051660176,0.033054348
0.0518101,0.036244404
0.04706689,0.035662174
0.046804097,0.029839225
