Date,Open,High,Low,Close,Volume
2022-03-04,431.75,433.37,427.88,432.17001,114083256.0
2022-03-07,431.54999,432.30179,419.35999,419.42999,137896560.0
2022-03-08,419.62,427.20999,415.12,416.25,164772744.0
2022-03-09,425.14001,429.51001,422.82001,427.41,116990765.0
2022-03-10,422.51999,426.42999,420.44,425.48001,93972655.0
2022-03-11,428.12,428.76999,419.53,420.07001,95636277.0
2022-03-14,420.89001,424.54999,415.79001,417.0,95729188.0
2022-03-15,419.76999,426.84,418.42001,426.17001,106219117.0
2022-03-16,429.89001,435.67999,424.79999,435.62,144954805.0
2022-03-17,433.59,441.07001,433.19,441.07001,102676870.0
2022-03-18,438.0,444.85999,437.22,444.51999,106345544.0
2022-03-21,444.34,446.45999,440.67999,444.39001,88349763.0
2022-03-22,445.85999,450.57999,445.85999,449.59,74650394.0
2022-03-23,446.91,448.48999,443.70999,443.79999,79426098.0
2022-03-24,445.94,450.5,444.76001,450.48999,64736892.0
2022-03-25,451.16,452.98001,448.42999,452.69,77101324.0
2022-03-28,452.06,455.91,450.06,455.91,68529767.0
2022-03-29,460.01999,462.07001,457.17999,461.54999,86581542.0
2022-03-30,460.34,461.19501,456.465,458.70001,79666942.0
2022-03-31,457.89001,458.76001,451.16,451.64001,121699948.0
2022-04-01,453.31,453.45999,449.14001,452.92001,89048773.0
2022-04-04,453.13,456.91,452.26001,456.79999,59601000.0
2022-04-05,455.22,457.82999,449.82001,451.03,74214501.0
2022-04-06,446.89001,448.92999,443.47,446.51999,106897970.0
2022-04-07,445.59,450.69,443.53,448.76999,78097214.0
2022-04-08,447.97,450.63,445.94,447.57001,79272711.0
2022-04-11,444.10999,445.0,439.39001,439.92001,89770538.0
2022-04-12,443.07999,445.75,436.65009,438.29001,84363635.0
2022-04-13,438.03,444.10999,437.84,443.31,74070394.0
2022-04-14,443.54999,444.7301,437.67999,437.79001,97869451.0
2022-04-18,436.81,439.75,435.60999,437.97,66002498.0
2022-04-19,437.85999,445.79999,437.67999,445.04001,77821013.0
2022-04-20,446.92001,447.57001,443.48001,444.70999,65224449.0
2022-04-21,448.54001,450.01001,437.10001,438.06,85417327.0
2022-04-22,436.91,438.08249,425.44,426.04001,132471772.0
2022-04-25,423.67001,428.69,418.84,428.51001,119647748.0
2022-04-26,425.82999,426.04001,416.07001,416.10001,103996312.0
2022-04-27,417.23999,422.92001,415.01001,417.26999,122029990.0
2022-04-28,422.29001,429.64001,417.60001,427.81,105449088.0
2022-04-29,423.59,425.87,411.20999,412.0,145491088.0
2022-05-02,412.07001,415.92001,405.01999,414.48001,158312526.0
2022-05-03,415.01001,418.92999,413.35999,416.38,100028190.0
2022-05-04,417.07999,429.66,413.7099,429.06,144247895.0
2022-05-05,424.54999,425.0,409.44,413.81,172929106.0
2022-05-06,411.10001,414.79999,405.73001,411.34,151770811.0
2022-05-09,405.10001,406.41,396.5,398.17001,155586067.0
2022-05-10,404.48999,406.07999,394.82001,399.09,132497200.0
2022-05-11,398.07001,404.04001,391.95999,392.75,142360992.0
2022-05-12,389.37,395.79999,385.14999,392.34,125090753.0
2022-05-13,396.70999,403.17999,395.60999,401.72,104174421.0
2022-05-16,399.98001,403.97,397.60001,400.09,78622444.0
2022-05-17,406.53,408.57001,402.5824,408.32001,83029710.0
2022-05-18,403.5,403.79999,390.54999,391.85999,117674545.0
2022-05-19,388.62,394.14001,387.10999,389.45999,98510715.0
2022-05-20,393.25,397.03,380.54001,389.63,131432197.0
2022-05-23,392.82999,397.73001,390.38,396.92001,76414878.0
2022-05-24,392.56,395.14999,386.95999,393.89001,91448831.0
2022-05-25,392.31,399.45001,391.89001,397.37,91472866.0
2022-05-26,398.67001,407.04001,398.45001,405.31,82168339.0
2022-05-27,407.91,415.3801,407.70001,415.26001,84768710.0
2022-05-31,413.54999,416.45999,410.03,412.92999,95936980.0
2022-06-01,415.17001,416.23999,406.92999,409.59,86585813.0
2022-06-02,409.42001,417.44,407.04001,417.39001,79609633.0
2022-06-03,412.39999,414.04001,409.51001,410.54001,71874281.0
